,File,Filetype,Attempt,nThreads,Og.Size [KB],Comp.Size [KB],Ratio,Time [s],Time Per KB [s/KB]
0,cantrbry/alice29.txt,.txt,0,2,148.5244140625,60.84765625,2.440922513962894,0.14987500000279397,0.0010090933598278706
1,cantrbry/alice29.txt,.txt,1,2,148.5244140625,60.84765625,2.440922513962894,0.08829549999791197,0.0005944847556224439
2,cantrbry/alice29.txt,.txt,2,2,148.5244140625,60.84765625,2.440922513962894,0.19040390002191998,0.001281970383278515
3,cantrbry/alice29.txt,.txt,3,2,148.5244140625,60.84765625,2.440922513962894,0.08846739999717101,0.0005956421410956948
4,cantrbry/alice29.txt,.txt,4,2,148.5244140625,60.84765625,2.440922513962894,0.14002600000821985,0.0009427810295841062
5,cantrbry/alice29.txt,.txt,5,2,148.5244140625,60.84765625,2.440922513962894,0.12719339999603108,0.0008563804193329947
6,cantrbry/alice29.txt,.txt,6,2,148.5244140625,60.84765625,2.440922513962894,0.17361469997558743,0.0011689303813885391
7,cantrbry/alice29.txt,.txt,7,2,148.5244140625,60.84765625,2.440922513962894,0.3218598999956157,0.002167050461213569
8,cantrbry/alice29.txt,.txt,8,2,148.5244140625,60.84765625,2.440922513962894,0.13526100001763552,0.0009106987620278835
9,cantrbry/alice29.txt,.txt,9,2,148.5244140625,60.84765625,2.440922513962894,0.13352459997986443,0.0008990077545343923
10,cantrbry/alice29.txt,.txt,10,2,148.5244140625,60.84765625,2.440922513962894,0.34505689999787137,0.0023232335382428726
11,cantrbry/alice29.txt,.txt,11,2,148.5244140625,60.84765625,2.440922513962894,0.0892384999897331,0.0006008338800931474
12,cantrbry/alice29.txt,.txt,12,2,148.5244140625,60.84765625,2.440922513962894,0.12919770000735298,0.000869875170508909
13,cantrbry/alice29.txt,.txt,13,2,148.5244140625,60.84765625,2.440922513962894,0.13966299997991882,0.0009403369867606262
14,cantrbry/alice29.txt,.txt,14,2,148.5244140625,60.84765625,2.440922513962894,0.16998360000434332,0.0011444825490630325
15,cantrbry/alice29.txt,.txt,15,2,148.5244140625,60.84765625,2.440922513962894,0.1397763999993913,0.0009411004977307805
16,cantrbry/alice29.txt,.txt,16,2,148.5244140625,60.84765625,2.440922513962894,0.1399253999989014,0.0009421036997999529
17,cantrbry/alice29.txt,.txt,17,2,148.5244140625,60.84765625,2.440922513962894,0.12108080001780763,0.0008152248960689795
18,cantrbry/alice29.txt,.txt,18,2,148.5244140625,60.84765625,2.440922513962894,0.18362190001062118,0.0012363078566554851
19,cantrbry/alice29.txt,.txt,19,2,148.5244140625,60.84765625,2.440922513962894,0.2729686000093352,0.0018378702365691093
20,cantrbry/alice29.txt,.txt,0,3,148.5244140625,60.84765625,2.440922513962894,0.1893949000223074,0.0012751768873675465
21,cantrbry/alice29.txt,.txt,1,3,148.5244140625,60.84765625,2.440922513962894,0.12499250000109896,0.000841561980163755
22,cantrbry/alice29.txt,.txt,2,3,148.5244140625,60.84765625,2.440922513962894,0.1963287999969907,0.0013218621412259828
23,cantrbry/alice29.txt,.txt,3,3,148.5244140625,60.84765625,2.440922513962894,0.3920118999958504,0.0026393768490538486
24,cantrbry/alice29.txt,.txt,4,3,148.5244140625,60.84765625,2.440922513962894,0.22535519997472875,0.0015172939842731706
25,cantrbry/alice29.txt,.txt,5,3,148.5244140625,60.84765625,2.440922513962894,0.17054300001473166,0.0011482489332896213
26,cantrbry/alice29.txt,.txt,6,3,148.5244140625,60.84765625,2.440922513962894,0.22542750000138767,0.0015177807731093043
27,cantrbry/alice29.txt,.txt,7,3,148.5244140625,60.84765625,2.440922513962894,0.08255280001321808,0.0005558197319565209
28,cantrbry/alice29.txt,.txt,8,3,148.5244140625,60.84765625,2.440922513962894,0.13459709999733604,0.0009062287897038714
29,cantrbry/alice29.txt,.txt,9,3,148.5244140625,60.84765625,2.440922513962894,0.13406049998593517,0.0009026159155862528
30,cantrbry/alice29.txt,.txt,10,3,148.5244140625,60.84765625,2.440922513962894,0.07318500001565553,0.000492747273083729
31,cantrbry/alice29.txt,.txt,11,3,148.5244140625,60.84765625,2.440922513962894,0.18557630002032965,0.001249466636119756
32,cantrbry/alice29.txt,.txt,12,3,148.5244140625,60.84765625,2.440922513962894,0.1896052999945823,0.0012765934893020027
33,cantrbry/alice29.txt,.txt,13,3,148.5244140625,60.84765625,2.440922513962894,0.13923820000491105,0.0009374768510873824
34,cantrbry/alice29.txt,.txt,14,3,148.5244140625,60.84765625,2.440922513962894,0.14004200001363643,0.0009428887560176193
35,cantrbry/alice29.txt,.txt,15,3,148.5244140625,60.84765625,2.440922513962894,0.14920129999518394,0.0010045574051711062
36,cantrbry/alice29.txt,.txt,16,3,148.5244140625,60.84765625,2.440922513962894,0.13932779998867773,0.0009380801188015307
37,cantrbry/alice29.txt,.txt,17,3,148.5244140625,60.84765625,2.440922513962894,0.17750979997799732,0.001195155699475105
38,cantrbry/alice29.txt,.txt,18,3,148.5244140625,60.84765625,2.440922513962894,0.1919425000087358,0.0012923296228454751
39,cantrbry/alice29.txt,.txt,19,3,148.5244140625,60.84765625,2.440922513962894,0.17897379997884855,0.0012050126648103473
40,cantrbry/alice29.txt,.txt,0,4,148.5244140625,60.84765625,2.440922513962894,0.17957519998890348,0.0012090618308269313
41,cantrbry/alice29.txt,.txt,1,4,148.5244140625,60.84765625,2.440922513962894,0.13599530002102256,0.0009156427303850187
42,cantrbry/alice29.txt,.txt,2,4,148.5244140625,60.84765625,2.440922513962894,0.3328278999833856,0.0022408969063047743
